"txNomeParlamentar";"cpf";"ideCadastro";"nuCarteiraParlamentar";"nuLegislatura";"sgUF";"sgPartido";"codLegislatura";"numSubCota";"txtDescricao";"numEspecificacaoSubCota";"txtDescricaoEspecificacao";"txtFornecedor";"txtCNPJCPF";"txtNumero";"indTipoDocumento";"datEmissao";"vlrDocumento";"vlrGlosa";"vlrLiquido";"numMes";"numAno";"numParcela";"txtPassageiro";"txtTrecho";"numLote";"numRessarcimento";"datPagamentoRestituicao";"vlrRestituicao";"nuDeputadoId";"ideDocumento";"urlDocumento"
"João da Silva";"12345678900";"001";"123";"2023";"SP";"PT";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO EXEMPLO LTDA";"12.345.678/0001-90";"1001";"0";"2025-01-15";"8500";"0";"8500";"1";"2025";"0";"";"";100001;"";"";"";"1001";"2001";"https://exemplo.com/doc1.pdf"
"Maria dos Santos";"98765432100";"002";"124";"2023";"RJ";"PL";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"FORNECEDOR EXCLUSIVO LTDA";"11.111.111/0001-11";"2001";"0";"2025-01-20";"25000";"0";"25000";"1";"2025";"0";"";"";100002;"";"";"";"1002";"2002";"https://exemplo.com/doc2.pdf"
"José Oliveira";"11122233344";"003";"125";"2023";"MG";"PSDB";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO REGULAR SA";"22.222.222/0001-22";"3001";"0";"2025-01-25";"450";"0";"450";"1";"2025";"0";"";"";100003;"";"";"";"1003";"2003";"https://exemplo.com/doc3.pdf"
"Ana Costa";"55566677788";"004";"126";"2023";"BA";"PP";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"FORNECEDOR EXCLUSIVO LTDA";"11.111.111/0001-11";"4001";"0";"2025-02-10";"30000";"0";"30000";"2";"2025";"0";"";"";100004;"";"";"";"1004";"2004";"https://exemplo.com/doc4.pdf"
"Pedro Santos";"77788899900";"005";"127";"2023";"RS";"MDB";"57";"2";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR";"0";"";"GRÁFICA PREMIUM LTDA";"33.333.333/0001-33";"5001";"0";"2025-02-15";"15000";"0";"15000";"2";"2025";"0";"";"";100005;"";"";"";"1005";"2005";"https://exemplo.com/doc5.pdf"
"Carlos Ferreira";"44455566677";"006";"128";"2023";"PR";"PSB";"57";"4";"PASSAGENS AÉREAS";"0";"";"COMPANHIA AÉREA XYZ";"44.444.444/0001-44";"6001";"0";"2025-03-01";"5500";"0";"5500";"3";"2025";"0";"Carlos Ferreira";"BSB-CWB";100006;"";"";"";"1006";"2006";"https://exemplo.com/doc6.pdf"
"Luiza Almeida";"66677788899";"007";"129";"2023";"SC";"PDT";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO EXEMPLO LTDA";"12.345.678/0001-90";"7001";"0";"2025-03-05";"3200";"0";"3200";"3";"2025";"0";"";"";100007;"";"";"";"1007";"2007";"https://exemplo.com/doc7.pdf"
"Roberto Lima";"88899900011";"008";"130";"2023";"GO";"DEM";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"MÓVEIS & CIA LTDA";"55.555.555/0001-55";"8001";"0";"2025-03-10";"8900";"0";"8900";"3";"2025";"0";"";"";100008;"";"";"";"1008";"2008";"https://exemplo.com/doc8.pdf"
"Fernanda Rocha";"11100022233";"009";"131";"2023";"CE";"REPUBLICANOS";"57";"2";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR";"0";"";"MÍDIA DIGITAL LTDA";"66.666.666/0001-66";"9001";"0";"2025-03-15";"12000";"0";"12000";"3";"2025";"0";"";"";100009;"";"";"";"1009";"2009";"https://exemplo.com/doc9.pdf"
"Antonio Silva";"22211133344";"010";"132";"2023";"PE";"SOLIDARIEDADE";"57";"4";"PASSAGENS AÉREAS";"0";"";"VIAGENS EXPRESS LTDA";"77.777.777/0001-77";"10001";"0";"2025-03-20";"7800";"0";"7800";"3";"2025";"0";"Antonio Silva";"REC-BSB";100010;"";"";"";"1010";"2010";"https://exemplo.com/doc10.pdf"
