"txNomeParlamentar";"cpf";"ideCadastro";"nuCarteiraParlamentar";"nuLegislatura";"sgUF";"sgPartido";"codLegislatura";"numSubCota";"txtDescricao";"numEspecificacaoSubCota";"txtDescricaoEspecificacao";"txtFornecedor";"txtCNPJCPF";"txtNumero";"indTipoDocumento";"datEmissao";"vlrDocumento";"vlrGlosa";"vlrLiquido";"numMes";"numAno";"numParcela";"txtPassageiro";"txtTrecho";"numLote";"numRessarcimento";"datPagamentoRestituicao";"vlrRestituicao";"nuDeputadoId";"ideDocumento";"urlDocumento"
"João da Silva";"12345678900";"001";"123";"2023";"SP";"PT";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO EXEMPLO LTDA";"12.345.678/0001-90";"1001";"0";"2025-01-15";"8500";"0";"8500";"1";"2025";"0";"";"";"";"100001";"";"";"1001";"2001";"https://exemplo.com/doc1.pdf"
"Maria dos Santos";"98765432100";"002";"124";"2023";"RJ";"PL";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"FORNECEDOR EXCLUSIVO LTDA";"11.111.111/0001-11";"2001";"0";"2025-01-20";"25000";"0";"25000";"1";"2025";"0";"";"";"";"100002";"";"";"1002";"2002";"https://exemplo.com/doc2.pdf"
"Pedro Oliveira";"11111111111";"003";"125";"2023";"MG";"PSDB";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO SUSPEITO SA";"22.222.222/0001-22";"3001";"0";"2025-01-10";"15000";"0";"15000";"1";"2025";"0";"";"";"";"100003";"";"";"1003";"2003";"https://exemplo.com/doc3.pdf"
"Ana Costa";"22222222222";"004";"126";"2023";"BA";"MDB";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"ESCRITORIO PREMIUM LTDA";"33.333.333/0001-33";"4001";"0";"2025-01-12";"5000";"0";"5000";"1";"2025";"0";"";"";"";"100004";"";"";"1004";"2004";"https://exemplo.com/doc4.pdf"
"Carlos Ferreira";"33333333333";"005";"127";"2023";"RS";"PP";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"ESCRITORIO PREMIUM LTDA";"33.333.333/0001-33";"5001";"0";"2025-01-14";"5000";"0";"5000";"1";"2025";"0";"";"";"";"100005";"";"";"1005";"2005";"https://exemplo.com/doc5.pdf"
"Juliana Lima";"44444444444";"006";"128";"2023";"PE";"PDT";"57";"999";"PASSAGEM AÉREA - SIGEPA";"0";"";"CIA AEREA XYZ";"44.444.444/0001-44";"6001";"0";"2025-01-18";"3500";"0";"3500";"1";"2025";"0";"JULIANA LIMA";"REC-BSB";"";"100006";"";"";"1006";"2006";"https://exemplo.com/doc6.pdf"
"Roberto Souza";"55555555555";"007";"129";"2023";"CE";"PSD";"57";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"MATERIAL ESCRITORIO ME";"55.555.555/0001-55";"7001";"0";"2025-01-22";"2500";"0";"2500";"1";"2025";"0";"";"";"";"100007";"";"";"1007";"2007";"https://exemplo.com/doc7.pdf"
"Fernanda Alves";"66666666666";"008";"130";"2023";"PA";"PSB";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO SUPER PRECO SA";"66.666.666/0001-66";"8001";"0";"2025-01-25";"20000";"0";"20000";"1";"2025";"0";"";"";"";"100008";"";"";"1008";"2008";"https://exemplo.com/doc8.pdf"
"Paulo Mendes";"77777777777";"009";"131";"2023";"SC";"DEM";"57";"4";"LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES";"0";"";"LOCADORA VIP LTDA";"77.777.777/0001-77";"9001";"0";"2025-01-28";"10000";"0";"10000";"1";"2025";"0";"";"";"";"100009";"";"";"1009";"2009";"https://exemplo.com/doc9.pdf"
"Lucia Cardoso";"88888888888";"010";"132";"2023";"GO";"PODE";"57";"2";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR";"0";"";"GRAFICA RAPIDA ME";"88.888.888/0001-88";"10001";"0";"2025-01-30";"15000";"0";"15000";"1";"2025";"0";"";"";"";"100010";"";"";"1010";"2010";"https://exemplo.com/doc10.pdf"
"João da Silva";"12345678900";"001";"123";"2023";"SP";"PT";"57";"3";"COMBUSTÍVEIS E LUBRIFICANTES";"0";"";"POSTO CARO DEMAIS";"99.999.999/0001-99";"1002";"0";"2025-01-17";"12000";"0";"12000";"1";"2025";"0";"";"";"";"100011";"";"";"1001";"2011";"https://exemplo.com/doc11.pdf"
